ITIS_event_category_sid,id,name,open511_subtype
445,8242,cycle-lane,
446,8243,tracks,
447,8244,bridge,
448,8245,overpass,
449,8246,elevated-lanes,
450,8247,underpass,
451,8248,tunnel,
452,8249,all-exit-lanes,
453,8250,all-entry-lanes,
454,8251,either-shoulder,
455,8252,shoulder-work,
456,2048,abnormal-load,
457,2049,wide-load,
458,2050,long-load,
459,2051,slow-vehicle,
460,2052,farm-equipment,
461,2053,horse-drawn-vehicles,
462,2054,overheight-load,
463,2055,overweight-load,
464,2056,tracked-vehicle,
465,2057,vehicle-carrying-hazardous-materials,
466,2058,slow-moving-maintenance-vehicle,
467,2059,convoy,
468,2060,military-convoy,
469,2061,refugee-convoy,
470,2062,motorcade,
471,2063,mobile-situation-repositioning,
472,2064,winter-maintenance-vehicles,
473,2065,snowplows,
474,2066,slow-moving-maintenance-vehicle-warning-cleared,
475,2067,exceptional-load-warning-cleared,
476,2068,hazardous-load-warning-cleared,
477,2069,convoy-cleared,
478,1280,obstruction-on-roadway,OBSTRUCTION
479,1281,object-on-roadway,OBSTRUCTION
480,1282,objects-falling-from-moving-vehicle,
481,1283,debris-on-roadway,
482,1284,storm-damage,
483,1285,people-on-roadway,
484,1286,bicyclists-on-roadway,
485,1287,sightseers-obstructing-access,
486,1288,large-numbers-of-visitors,
487,1289,animal-on-roadway,OBSTRUCTION
488,1290,large-animal-on-roadway,OBSTRUCTION
489,1291,herd-of-animals-on-roadway,OBSTRUCTION
490,1292,animal-struck,
491,1293,advertising-signs,
492,1294,fallen-trees,OBSTRUCTION
493,1295,over-turned-trees,OBSTRUCTION
494,1296,tree-limbs,OBSTRUCTION
495,1297,utility-pole-down,
496,1298,downed-power-lines,
497,1299,downed-cables,
498,1300,subsidence,
499,1301,road-surface-collapse,
500,1302,frost-jacking,
501,1303,frost-heave,
502,1304,pavement-buckled,
503,1305,pothole,
504,1306,flooding,
505,1307,broken-water-main,
506,1308,collapsed-sewer,
507,1309,wash-out,
508,1310,washboard,
509,1311,sewer-overflow,
510,1312,gas-leak,
511,1313,snowmelt,
512,1314,mudslide,
513,1315,avalanche,
514,1316,rockfall,
515,1317,landslide,
516,1318,clearance-work,
517,1319,obstruction-cleared,
518,4096,normal-parking-restrictions-lifted,
519,4097,parking-meter-restrictions-lifted,
520,4098,special-parking-restrictions-in-force,
521,4099,full-parking-lot,
522,4100,full-parking-garage,
523,4101,all-parking-lots-full,
524,4102,no-parking-spaces-available,
525,4103,only-a-few-spaces-available,
526,4104,spaces-available,
527,4105,no-parking,
528,4106,parking-on-one-side-of-street-only,
529,4107,parking-on-both-sides-of-street,
530,4108,parallel-parking-only,
531,4109,parking-meters-not-available,
532,4110,use-of-parking-meters-restricted,
533,4111,event-parking,
534,4112,handicapped-parking,
535,4113,long-term-parking,
536,4114,overnight-parking,
537,4115,short-term-parking,
538,4116,parking-by-permit-only,
539,4117,emergency-parking-only,
540,4118,emergency-stopping-only,
541,4119,parking,
542,4120,stopping,
543,4121,standing,
544,4122,tow-away-zone,
545,4123,school-zone,
546,4124,speed-zone,
547,4125,loading-zone,
548,4126,state-law,
